Participant,LeftHandToFace,LetfHandToBody,RightHandToBody,RightHandToFace,TouchBody,TouchFace
0000,0.8149938777177951,0.860548452426514,1.1251151691579453,0.8760254173097174,1.1747867792654638,0.6276466005363349
0001,0.9598550417250102,0.18646940686049862,0.34782470041981195,0.6820332608913224,0.5050906570932656,0.48461464191850245
0002,2.2481080134245586,3.5940867095554023,8.931729432427954,2.0775100523604557,5.200545452443789,2.654913804171528
0003,1.7817434513332855,4.093639064675809,2.272953958485025,0.44496695470137365,6.812709915677785,2.0029232645177344
0004,1.4973183403980794,2.212087378785414,2.1854260980595503,0.5894785604017112,1.0959030612158376,0.5897230507995971
0005,3.97139817187978,1.590156197326519,1.9530277403032317,2.513294480894986,2.1337374570347287,6.273231109888812
0006,10.535825523941169,11.280675631962476,9.427687964804079,11.337326880013382,10.379330775156973,12.116169117879098
0007,4.015552926761502,3.437935745926952,2.940463333857722,5.196979350573602,5.442044155685741,3.6476151798347263
0008,2.2436096367584164,2.402867798940415,2.3567986166981663,2.280573613288166,1.38850350065455,1.85490785910903
0009,0.865998416586288,1.4985041684299487,0.5962976592721548,0.5881244690514457,0.6926752141315344,0.6887572305620665
0010,1.6310146949020619,2.223762156527816,1.3417932516477509,2.897338640359207,3.051568035017521,2.5726676802503476
0011,3.222694168681037,4.36249820799446,6.7339417445449685,4.206317503992978,5.735201302335308,2.3922006573225127
0012,1.3530664623309236,2.237517595572085,2.1046156175624815,1.3567465391861517,2.480411607915663,1.6580036694174212
0013,6.124857197755622,7.6310691431591335,6.787560565348775,1.1134594417753159,4.612673710774379,1.0187564784647392
0014,2.9130772293663667,1.2540149417570505,0.9932343706679737,2.1449010919951945,0.7646003139759252,3.404225816220694
0015,2.8678888094899757,6.20477747082882,6.315827282053435,1.616875647395449,4.9348059194729075,1.5346107726363158
0016,1.8045338023538051,2.876663082973525,3.482325852233499,1.0396944628398928,3.106137047610572,0.7350976814516147
0017,1.885269238500087,1.8123037450171022,1.6603352778613534,1.6284932995737438,1.5604259750915688,2.037524800333636
0018,1.3385180275542128,1.6590632255695377,3.046216633280434,0.932608874474828,3.856220344745687,1.253427997065659
0019,5.605044222017743,6.000403845882079,4.25097466805729,3.7545427714239126,3.574935935934598,2.578396366703156
0020,0.5333754856476641,0.6223332056354721,1.2182860091235224,0.5650598263983201,0.9601395155402734,0.9090175161115751
0021,1.0895014425303189,0.49615284019162664,0.5169495745095606,0.5706057772095512,0.697257930643513,1.222005290103605
0022,2.233921802241513,0.8329712431170514,0.9115491999754487,1.1185567808320431,0.9248401021495951,2.9197641515339883
0023,6.3221970074581115,6.974043717144616,6.9375363432315025,9.209631256391795,5.944891837766761,5.7174650311543145
0024,1.1384209962657672,2.704737731892581,2.740791576526457,2.770641398671936,1.25229001020111,1.6798040505056635
0025,0.822782553183382,1.1179629130281044,0.9799944081907283,0.3963409112086755,0.9550929557530121,1.0185675575611683
0026,3.25393523757568,1.4734997156573417,1.3125217318424627,1.414966740836819,2.3177433254440762,1.706122547278889
0027,1.9070302915891575,2.330706071233699,3.2485665824876375,1.5496237977579441,3.822170086316062,1.4711796203135652
0028,0.45923044532590296,0.19152332440828884,0.3129642200360118,0.7378560779307202,0.32086726292360146,0.6405595581010373
0029,3.3141975134327213,0.9722234204097499,0.8675310621734081,0.894411495130155,0.9851647995169502,2.4160273222026216
0030,2.2981096513793213,4.684149458662535,4.628676826653855,4.252660675810494,5.371141887950909,1.0365791737814296
